"Quarter","Country","Price_Change","Price_Index","Price_Index_Interp"
1958 Q1,"AUS",NA,15.4046997389034,11.1320754716981
1958 Q1,"CAN",NA,0.00391552023318543,0.00284255071711564
1958 Q1,"FRA",NA,0.00564074594332087,0.0032010969722873
1958 Q1,"GBR",NA,0.00112924376922862,0.000515791883775721
1958 Q1,"GER",NA,0.0325865565669247,0.0198474269477092
1958 Q1,"ITA",NA,5.12414440955235,3.87412116192758
1958 Q1,"JAP",0.576672,1.13032492526796,1.09116889363605
1958 Q1,"NEZ",0.5033557,0.000331982816629533,0.000185386374912655
1958 Q1,"NOR",NA,0.0582529083117584,0.0457631263938264
1958 Q1,"SA",NA,9.05872518083504,2.0281253485907
1958 Q1,"SOK",NA,0.46173548393395,0.25766983080242
1958 Q1,"US",0.310559,0.00882692068717685,0.00585052344921506
1958 Q2,"AUS",NA,15.4046997389034,11.1320754716981
1958 Q2,"CAN",NA,0.00391552023318543,0.00284255071711564
1958 Q2,"FRA",NA,0.00564074594332087,0.0032010969722873
1958 Q2,"GBR",NA,0.00112924376922862,0.000515791883775721
1958 Q2,"GER",NA,0.0325865565669247,0.0198474269477092
1958 Q2,"ITA",NA,5.12414440955235,3.87412116192758
1958 Q2,"JAP",-0.9668434,1.11939645332945,1.08061899920508
1958 Q2,"NEZ",6.176961,0.000352489265739441,0.000196837618990324
1958 Q2,"NOR",NA,0.0582529083117584,0.0457631263938264
1958 Q2,"SA",NA,9.05872518083504,2.0281253485907
1958 Q2,"SOK",NA,0.46173548393395,0.25766983080242
1958 Q2,"US",-0.311042,0.00879946525653304,0.00583232586406815
1958 Q3,"AUS",NA,15.4046997389034,11.1320754716981
1958 Q3,"CAN",NA,0.00391552023318543,0.00284255071711564
1958 Q3,"FRA",NA,0.00564074594332087,0.0032010969722873
1958 Q3,"GBR",NA,0.00112924376922862,0.000515791883775721
1958 Q3,"GER",NA,0.0325865565669247,0.0198474269477092
1958 Q3,"ITA",NA,5.12414440955235,3.87412116192758
1958 Q3,"JAP",-3.536208,1.0798122663951,1.04240606370567
1958 Q3,"NEZ",8.514191,0.000382500875078994,0.000213596749831012
1958 Q3,"NOR",NA,0.0582529083117584,0.0457631263938264
1958 Q3,"SA",NA,9.05872518083504,2.0281253485907
1958 Q3,"SOK",NA,0.46173548393395,0.25766983080242
1958 Q3,"US",1.086957,0.0088951116601015,0.00589572073831045
1958 Q4,"AUS",NA,15.4046997389034,11.1320754716981
1958 Q4,"CAN",NA,0.00391552023318543,0.00284255071711564
1958 Q4,"FRA",NA,0.00564074594332087,0.0032010969722873
1958 Q4,"GBR",NA,0.00112924376922862,0.000515791883775721
1958 Q4,"GER",NA,0.0325865565669247,0.0198474269477092
1958 Q4,"ITA",NA,5.12414440955235,3.87412116192758
1958 Q4,"JAP",-6.011825,1.01489584261089,0.979738435366298
1958 Q4,"NEZ",8.514191,0.000415067730159891,0.000231782785081417
1958 Q4,"NOR",NA,0.0582529083117584,0.0457631263938264
1958 Q4,"SA",NA,9.05872518083504,2.0281253485907
1958 Q4,"SOK",NA,0.46173548393395,0.25766983080242
1958 Q4,"US",0,0.0088951116601015,0.00589572073831045
1959 Q1,"AUS",NA,15.4046997389034,11.1320754716981
1959 Q1,"CAN",NA,0.00391552023318543,0.00284255071711564
1959 Q1,"FRA",NA,0.00564074594332087,0.0032010969722873
1959 Q1,"GBR",NA,0.00112924376922862,0.000515791883775721
1959 Q1,"GER",NA,0.0325865565669247,0.0198474269477092
1959 Q1,"ITA",NA,5.12414440955235,3.87412116192758
1959 Q1,"JAP",-3.136597,0.983062650058435,0.949007988994751
1959 Q1,"NEZ",8.681135,0.000451100320156507,0.000251904161561094
1959 Q1,"NOR",NA,0.0582529083117584,0.0457631263938264
1959 Q1,"SA",NA,9.05872518083504,2.0281253485907
1959 Q1,"SOK",NA,0.46173548393395,0.25766983080242
1959 Q1,"US",0.619195,0.00895018974674526,0.00593222674633603
1959 Q2,"AUS",NA,15.4046997389034,11.1320754716981
1959 Q2,"CAN",NA,0.00391552023318543,0.00284255071711564
1959 Q2,"FRA",NA,0.00564074594332087,0.0032010969722873
1959 Q2,"GBR",NA,0.00112924376922862,0.000515791883775721
1959 Q2,"GER",NA,0.0325865565669247,0.0198474269477092
1959 Q2,"ITA",NA,5.12414440955235,3.87412116192758
1959 Q2,"JAP",-1.464439,0.968666297216545,0.935110345890797
1959 Q2,"NEZ",2.201258,0.000461030202041978,0.000257449222069791
1959 Q2,"NOR",NA,0.0582529083117584,0.0457631263938264
1959 Q2,"SA",NA,9.05872518083504,2.0281253485907
1959 Q2,"SOK",NA,0.46173548393395,0.25766983080242
1959 Q2,"US",1.716069,0.00910378117843034,0.00603402785053962
1959 Q3,"AUS",NA,15.4046997389034,11.1320754716981
1959 Q3,"CAN",NA,0.00391552023318543,0.00284255071711564
1959 Q3,"FRA",NA,0.00564074594332087,0.0032010969722873
1959 Q3,"GBR",NA,0.00112924376922862,0.000515791883775721
1959 Q3,"GER",NA,0.0325865565669247,0.0198474269477092
1959 Q3,"ITA",NA,5.12414440955235,3.87412116192758
1959 Q3,"JAP",-1.198439,0.957057422530846,0.923903618812606
1959 Q3,"NEZ",-0.4615385,0.000458902370162927,0.000256260994791988
1959 Q3,"NOR",NA,0.0582529083117584,0.0457631263938264
1959 Q3,"SA",NA,9.05872518083504,2.0281253485907
1959 Q3,"SOK",NA,0.46173548393395,0.25766983080242
1959 Q3,"US",0.7680492,0.00917370269694102,0.00608037215317346
1959 Q4,"AUS",NA,15.4046997389034,11.1320754716981
